rank,transformed_feature,mean_abs_shap,mean_signed_shap,transformer,source_feature
52,categorical__admission_type_id_2,0.002401420093602338,-1.4228904050713294e-05,categorical,admission_type_id
53,categorical__glipizide_No,0.0024008243468576977,-0.00018109614853790946,categorical,glipizide
54,numeric__num_procedures,0.0023246262994391378,-0.0005886731104694766,numeric,num_procedures
55,categorical__admission_source_id_1,0.0021067431770190855,0.000896289438019121,categorical,admission_source_id
56,specialty__medical_specialty_ObstetricsandGynecology,0.001983770346574912,-0.0004972922407313401,specialty,medical_specialty
57,specialty__medical_specialty_Missing,0.0019303635924494418,4.633675260439934e-05,specialty,medical_specialty
58,diagnosis__diag_3_Other,0.001917947043494212,-4.980352113994829e-05,diagnosis,diag_3
59,categorical__age_[40-50),0.0019002033180155963,5.4248453981127044e-05,categorical,age
60,categorical__discharge_disposition_id_28,0.0018337974104325418,-0.0004913844685932683,categorical,discharge_disposition_id
61,diagnosis__diag_3_Diabetes,0.001815021561443972,0.00012868425037442936,diagnosis,diag_3
62,categorical__repaglinide_No,0.0018148487709218322,-0.00027456833354945714,categorical,repaglinide
63,categorical__payer_code_MD,0.0017970539377850999,2.25318747308803e-05,categorical,payer_code
64,specialty__medical_specialty_InternalMedicine,0.0017326990280588427,4.398343703228517e-05,specialty,medical_specialty
65,categorical__age_[90-100),0.0017082152124857667,0.0002834576938622798,categorical,age
66,categorical__admission_type_id_3,0.0014892444641175161,-9.524352827422884e-05,categorical,admission_type_id
67,specialty__medical_specialty_Hematology/Oncology,0.0013396121302800966,-8.458976840551614e-05,specialty,medical_specialty
68,categorical__discharge_disposition_id_15,0.0012042021901961784,-0.0002517785661832865,categorical,discharge_disposition_id
69,diagnosis__diag_2_Circulatory,0.00119372873283901,0.0002256833348599117,diagnosis,diag_2
70,diagnosis__diag_3_Circulatory,0.0011521689339116115,7.021677492541751e-06,diagnosis,diag_3
71,categorical__payer_code_HM,0.0011120311298097778,-0.0003648993351472025,categorical,payer_code
72,categorical__payer_code_SP,0.0010112477711473043,-0.000186642685326749,categorical,payer_code
73,specialty__medical_specialty_Psychiatry,0.0009028267941453012,-9.83715359524933e-06,specialty,medical_specialty
74,diagnosis__diag_2_Genitourinary,0.0008987681714266151,-4.875554753325781e-05,diagnosis,diag_2
